type habits,prix,adresse,image_lien
Ensemble blouson,25000.0,"Grand Dakar, Dakar, Sénégal",https://images.coinafrique.com/thumb_5588312_uploaded_image1_1761261836.jpg
Vètments homme turquie,8000.0,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5017669_uploaded_image1_1730276939.jpg
Blouson homme turquie,12000.0,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5017658_uploaded_image1_1730276517.jpg
Vetement homme  L XL XXL,12000.0,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5017673_uploaded_image1_1730277083.jpg
T-shirt coton,4000.0,"Damel, Dakar, Sénégal",https://images.coinafrique.com/thumb_5064122_uploaded_image1_1732708928.jpg
pull collant unique colle rouler,5000.0,"Damel, Dakar, Sénégal",https://images.coinafrique.com/thumb_5064136_uploaded_image1_1732709317.jpg
Vestments  homme,10000.0,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5021532_uploaded_image1_1730468069.jpg
Lecket Jeans,12000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5066142_uploaded_image1_1732812604.jpg
Dialabé homme,10000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5149891_uploaded_image1_1737653080.jpg
Blouson Unisexe,10000.0,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5071960_uploaded_image1_1733157846.jpg
Pull cotton,4000.0,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5028884_uploaded_image1_1730844568.jpg
Costume africaine,40000.0,"Ngor, Dakar, Sénégal",https://images.coinafrique.com/thumb_5504240_uploaded_image1_1756801063.jpg
Gabardine rayure sans pantalon,12000.0,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5077927_uploaded_image1_1733419213.jpg
Djellaba lourde,18000.0,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5077966_uploaded_image1_1733420326.jpg
Slip  pour homme,1100.0,"Fass, Dakar, Sénégal",https://images.coinafrique.com/thumb_5035627_uploaded_image1_1731171841.jpg
Pantalon cargo,8000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5758901_uploaded_image1_1770244788.jpg
chemise carreaux,9000.0,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5081925_uploaded_image1_1733662275.jpg
T-shirts homme,6000.0,"Fass, Dakar, Sénégal",https://images.coinafrique.com/thumb_5038258_uploaded_image1_1731333237.jpg
Tenue africain,25000.0,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_5082376_uploaded_image1_1733687615.jpg
Pantalon cargo,9000.0,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_5083540_uploaded_image1_1733754885.jpg
Pull pour homme,12500.0,"Fass, Dakar, Sénégal",https://images.coinafrique.com/thumb_5186517_uploaded_image1_1739580333.jpg
collant pull a col rouler homme,5000.0,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5080853_uploaded_image1_1733578155.jpg
Pull en jeans,14000.0,"Damel, Dakar, Sénégal",https://images.coinafrique.com/thumb_5084952_uploaded_image1_1733831208.jpg
chemise carreaux,8000.0,"Damel, Dakar, Sénégal",https://images.coinafrique.com/thumb_5085151_uploaded_image1_1733837545.jpg
Costume africain,30000.0,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5486782_uploaded_image1_1755802563.jpg
Chemises homme,15000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5513618_uploaded_image1_1757271994.jpg
Pull homme,500.0,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5087584_uploaded_image1_1733950687.jpg
Blouson homme,12000.0,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5046290_uploaded_image1_1731706762.jpg
Jeans Carho homme,8000.0,"Damel, Dakar, Sénégal",https://images.coinafrique.com/thumb_5090250_uploaded_image1_1734092879.jpg
Chemise classe pour homme,10000.0,"Damel, Dakar, Sénégal",https://images.coinafrique.com/thumb_5090255_uploaded_image1_1734092997.jpg
Blouson homme en coton,10000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5090756_uploaded_image1_1734113501.jpg
Ensemble  femme,22500.0,"Fass, Dakar, Sénégal",https://images.coinafrique.com/thumb_5048700_uploaded_image1_1731877499.jpg
Ensemble  blouson homme,13500.0,"Fass, Dakar, Sénégal",https://images.coinafrique.com/thumb_5048722_uploaded_image1_1731877991.jpg
Chemise homme,10000.0,"Mariste, Dakar, Sénégal",https://images.coinafrique.com/thumb_5092529_uploaded_image1_1734245850.jpg
Ensemble homme,25000.0,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5713973_uploaded_image1_1768048230.jpg
Chemise EL hadji - Djallabe,10000.0,"Fass, Dakar, Sénégal",https://images.coinafrique.com/thumb_5052780_uploaded_image1_1732093902.jpg
Ensemble Lins,15000.0,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5095646_uploaded_image1_1734430818.jpg
Lacoste  coton,8500.0,"Fass, Dakar, Sénégal",https://images.coinafrique.com/thumb_5054125_uploaded_image1_1732145023.jpg
Blouson en coton,8000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5100696_uploaded_image1_1734700994.jpg
