type chaussure,prix,adresse,image_lien
Chaussures enfant - 7 paires,15000.0,"Ouakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_4336733_uploaded_image1_1692136230.jpg
Chaussures crocs,3000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3874877_uploaded_image1_1662993378.jpg
Chaussures crocs,6000.0,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_4038403_uploaded_image1_1673050094.jpg
Chaussure Jordan enfant,7500.0,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_4040246_uploaded_image1_1673189828.jpg
Pantoufles  enfants,2500.0,"Grand Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_4632466_uploaded_image1_1709901740.jpg
Baskets enfant  Jordan,20000.0,"Grand Dakar, Dakar, Sénégal",https://images.coinafrique.com/thumb_4201412_uploaded_image1_1683164968.jpg
Bottes fourrées fille,12000.0,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_4110432_uploaded_image1_1677428890.jpg
Chaussures enfants,12000.0,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_4111498_uploaded_image1_1677508687.jpg
Ballerines  enfant,7500.0,"Sicap foire, Dakar, Sénégal",https://images.coinafrique.com/thumb_4175703_uploaded_image1_1681413005.jpg
Chaussures enfant,20000.0,"Sacré-Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_4361430_uploaded_image2_1693749843.jpeg
Chaussures enfant,6000.0,"Diamalaye 1, Dakar, Sénégal",https://images.coinafrique.com/thumb_4392112_uploaded_image1_1695751474.jpg
Sandales enfant,2500.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4427622_uploaded_image2_1698104491.jpeg
Baskets  Jordan,20000.0,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4402939_uploaded_image1_1696449724.jpg
Chaussures enfants,6500.0,"Sipres, Dakar, Sénégal",https://images.coinafrique.com/thumb_4608262_uploaded_image1_1708692132.jpg
Pantoufle enfants,2500.0,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_4626680_uploaded_image1_1709644598.jpg
Timberland enfants,7000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4763656_uploaded_image1_1716765652.jpg
Chaussures pour enfants,2500.0,"Pikine, Sénégal",https://images.coinafrique.com/thumb_4775765_uploaded_image1_1717362018.jpg
Baskets Nike React,9000.0,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_4921241_uploaded_image1_1725193496.jpg
Baskets Jordan 6,11000.0,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_4921251_uploaded_image1_1725193733.jpg
Chaussures Jordan enfants,20000.0,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5551856_uploaded_image1_1759301538.jpg
Chaussures enfants,20000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5698980_uploaded_image1_1767320096.jpg
Baskets Nike Air Max,6000.0,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_4979173_uploaded_image1_1728164387.jpg
Ballerines enfants,12000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5141832_uploaded_image1_1737242187.jpg
Claquettes,8450.0,"Fass, Dakar, Sénégal",https://images.coinafrique.com/thumb_5047806_uploaded_image1_1731804849.jpg
Baskets Nike Jordan,20000.0,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_5210436_uploaded_image1_1740934512.jpg
Baskets Nike TN pour enfants,20000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5553767_uploaded_image1_1759362000.jpg
