web_scraper_order,web_scraper_start_url,container_links,type chaussure,prix,adresse,image_lien
1771786873-62,https://sn.coinafrique.com/categorie/chaussures-homme?page=9,https://sn.coinafrique.com/annonce/chaussures-homme/baskets-nike-ja-1-5362506,Baskets Nike JA 1,20 000 CFA,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_5362506_uploaded_image1_1749163263.jpg
1771786876-63,https://sn.coinafrique.com/categorie/chaussures-homme?page=9,https://sn.coinafrique.com/annonce/chaussures-homme/sandales-orthopedique-5318493,Sandale Orthopédique Birkenstock,29 500 CFA,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_5569336_uploaded_image1_1760194310.jpg
1771786878-64,https://sn.coinafrique.com/categorie/chaussures-homme?page=9,https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-homme-5318675,Chaussures homme,15 000 CFA,"Medina, Dakar, Sénégal",https://images.coinafrique.com/thumb_5773520_uploaded_image1_1771005361.jpg
1771786881-65,https://sn.coinafrique.com/categorie/chaussures-homme?page=9,https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-homme-5364177,Chaussures homme,15 000 CFA,"Medina, Dakar, Sénégal",https://images.coinafrique.com/thumb_5773520_uploaded_image1_1771005361.jpg
1771786883-66,https://sn.coinafrique.com/categorie/chaussures-homme?page=9,https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-homme-5320628,Chaussures homme,15 000 CFA,"Medina, Dakar, Sénégal",https://images.coinafrique.com/thumb_5773520_uploaded_image1_1771005361.jpg
1771786886-67,https://sn.coinafrique.com/categorie/chaussures-homme?page=9,https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-homme-5320656,Chaussures homme,15 000 CFA,"Medina, Dakar, Sénégal",https://images.coinafrique.com/thumb_5773520_uploaded_image1_1771005361.jpg
1771786888-68,https://sn.coinafrique.com/categorie/chaussures-homme?page=9,https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-homme-5320634,Chaussures homme,15 000 CFA,"Medina, Dakar, Sénégal",https://images.coinafrique.com/thumb_5773520_uploaded_image1_1771005361.jpg
1771786891-69,https://sn.coinafrique.com/categorie/chaussures-homme?page=9,https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-homme-5320664,Chaussures homme,15 000 CFA,"Medina, Dakar, Sénégal",https://images.coinafrique.com/thumb_5773520_uploaded_image1_1771005361.jpg
1771786894-70,https://sn.coinafrique.com/categorie/chaussures-homme?page=9,https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-homme-5358876,Chaussures homme,15 000 CFA,"Medina, Dakar, Sénégal",https://images.coinafrique.com/thumb_5773520_uploaded_image1_1771005361.jpg
1771786896-71,https://sn.coinafrique.com/categorie/chaussures-homme?page=9,https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-homme-5335718,Chaussures homme,15 000 CFA,"Medina, Dakar, Sénégal",https://images.coinafrique.com/thumb_5773520_uploaded_image1_1771005361.jpg
1771786899-72,https://sn.coinafrique.com/categorie/chaussures-homme?page=9,https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-homme-5326065,Chaussures homme,15 000 CFA,"Medina, Dakar, Sénégal",https://images.coinafrique.com/thumb_5773520_uploaded_image1_1771005361.jpg
1771786902-73,https://sn.coinafrique.com/categorie/chaussures-homme?page=9,https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-homme-5326060,Chaussures homme,15 000 CFA,"Medina, Dakar, Sénégal",https://images.coinafrique.com/thumb_5773520_uploaded_image1_1771005361.jpg
1771786904-74,https://sn.coinafrique.com/categorie/chaussures-homme?page=9,https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-homme-5326073,Chaussures homme,15 000 CFA,"Medina, Dakar, Sénégal",https://images.coinafrique.com/thumb_5773520_uploaded_image1_1771005361.jpg
1771786907-75,https://sn.coinafrique.com/categorie/chaussures-homme?page=9,https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-homme-5326084,Chaussures homme,15 000 CFA,"Medina, Dakar, Sénégal",https://images.coinafrique.com/thumb_5773520_uploaded_image1_1771005361.jpg
1771786910-76,https://sn.coinafrique.com/categorie/chaussures-homme?page=9,https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-homme-5344836,Chaussures homme,15 000 CFA,"Medina, Dakar, Sénégal",https://images.coinafrique.com/thumb_5773520_uploaded_image1_1771005361.jpg
1771786913-77,https://sn.coinafrique.com/categorie/chaussures-homme?page=9,https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-homme-5344847,Chaussures homme,15 000 CFA,"Medina, Dakar, Sénégal",https://images.coinafrique.com/thumb_5773520_uploaded_image1_1771005361.jpg
1771786916-78,https://sn.coinafrique.com/categorie/chaussures-homme?page=9,https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-homme-5352579,Chaussures homme,15 000 CFA,"Medina, Dakar, Sénégal",https://images.coinafrique.com/thumb_5773520_uploaded_image1_1771005361.jpg
1771786919-79,https://sn.coinafrique.com/categorie/chaussures-homme?page=9,https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-homme-5352582,Chaussures homme,15 000 CFA,"Medina, Dakar, Sénégal",https://images.coinafrique.com/thumb_5773520_uploaded_image1_1771005361.jpg
1771786921-80,https://sn.coinafrique.com/categorie/chaussures-homme?page=9,https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-homme-5339043,Chaussures homme,15 000 CFA,"Medina, Dakar, Sénégal",https://images.coinafrique.com/thumb_5773520_uploaded_image1_1771005361.jpg
1771786928-81,https://sn.coinafrique.com/categorie/chaussures-homme?page=8,https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-homme-5344859,Chaussures homme,15 000 CFA,"Medina, Dakar, Sénégal",https://images.coinafrique.com/thumb_5773520_uploaded_image1_1771005361.jpg
1771786931-82,https://sn.coinafrique.com/categorie/chaussures-homme?page=8,https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-homme-5352585,Chaussures homme,15 000 CFA,"Medina, Dakar, Sénégal",https://images.coinafrique.com/thumb_5773520_uploaded_image1_1771005361.jpg
1771786934-83,https://sn.coinafrique.com/categorie/chaussures-homme?page=8,https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-homme-5339050,Chaussures homme,15 000 CFA,"Medina, Dakar, Sénégal",https://images.coinafrique.com/thumb_5773520_uploaded_image1_1771005361.jpg
1771786937-84,https://sn.coinafrique.com/categorie/chaussures-homme?page=8,https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-homme-5352599,Chaussures homme,15 000 CFA,"Medina, Dakar, Sénégal",https://images.coinafrique.com/thumb_5773520_uploaded_image1_1771005361.jpg
1771786940-85,https://sn.coinafrique.com/categorie/chaussures-homme?page=8,https://sn.coinafrique.com/annonce/chaussures-homme/babouche-hommes-5352597,Babouches homme,10 000 CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5355160_uploaded_image1_1748804517.jpg
1771786943-86,https://sn.coinafrique.com/categorie/chaussures-homme?page=8,https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-homme-5352594,Chaussures homme,15 000 CFA,"Medina, Dakar, Sénégal",https://images.coinafrique.com/thumb_5773520_uploaded_image1_1771005361.jpg
1771786945-87,https://sn.coinafrique.com/categorie/chaussures-homme?page=8,https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-homme-5339056,Chaussures homme,15 000 CFA,"Medina, Dakar, Sénégal",https://images.coinafrique.com/thumb_5773520_uploaded_image1_1771005361.jpg
1771786948-88,https://sn.coinafrique.com/categorie/chaussures-homme?page=8,https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-homme-5339072,Chaussures homme,15 000 CFA,"Medina, Dakar, Sénégal",https://images.coinafrique.com/thumb_5773520_uploaded_image1_1771005361.jpg
1771786951-89,https://sn.coinafrique.com/categorie/chaussures-homme?page=8,https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-homme-5352612,Chaussures homme,15 000 CFA,"Medina, Dakar, Sénégal",https://images.coinafrique.com/thumb_5773520_uploaded_image1_1771005361.jpg
1771786954-90,https://sn.coinafrique.com/categorie/chaussures-homme?page=8,https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-homme-5352608,Chaussures homme,15 000 CFA,"Medina, Dakar, Sénégal",https://images.coinafrique.com/thumb_5773520_uploaded_image1_1771005361.jpg
1771786957-91,https://sn.coinafrique.com/categorie/chaussures-homme?page=8,https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-homme-5352618,Chaussures homme,15 000 CFA,"Medina, Dakar, Sénégal",https://images.coinafrique.com/thumb_5773520_uploaded_image1_1771005361.jpg
1771786959-92,https://sn.coinafrique.com/categorie/chaussures-homme?page=8,https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-homme-5329838,Chaussures homme,15 000 CFA,"Medina, Dakar, Sénégal",https://images.coinafrique.com/thumb_5773520_uploaded_image1_1771005361.jpg
1771786962-93,https://sn.coinafrique.com/categorie/chaussures-homme?page=8,https://sn.coinafrique.com/annonce/chaussures-homme/babouche-hommes-5352617,Babouches homme,10 000 CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5355160_uploaded_image1_1748804517.jpg
1771786964-94,https://sn.coinafrique.com/categorie/chaussures-homme?page=8,https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-homme-5352616,Chaussures homme,15 000 CFA,"Medina, Dakar, Sénégal",https://images.coinafrique.com/thumb_5773520_uploaded_image1_1771005361.jpg
1771786967-95,https://sn.coinafrique.com/categorie/chaussures-homme?page=8,https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-homme-5329841,Chaussures homme,15 000 CFA,"Medina, Dakar, Sénégal",https://images.coinafrique.com/thumb_5773520_uploaded_image1_1771005361.jpg
