type habits,prix,adresse,image_lien
Cole pour enfants,2000.0,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4126921_uploaded_image1_1678367548.jpg
Robe pour enfants,7000.0,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5344465_uploaded_image1_1748167330.jpg
Jeans pour enfants garçon,6000.0,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4154870_uploaded_image1_1680171128.jpg
Jeans pour enfants filles,7000.0,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4154864_uploaded_image1_1680170947.jpg
Emsemble coton pour enfants,7000.0,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5636847_uploaded_image1_1763913261.jpg
Jeans baladeurs enfant,7000.0,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4157493_uploaded_image1_1680338403.jpg
Survetmemt pour enfants,1000.0,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4165543_uploaded_image1_1680781784.jpg
Pantalon pour enfants original,8000.0,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5636849_uploaded_image1_1763913455.jpg
Pantalon en coton,6500.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4284180_uploaded_image2_1688677380.jpeg
Culotte Berksha enfant,15000.0,"Ngor, Dakar, Sénégal",https://images.coinafrique.com/thumb_4304204_uploaded_image1_1690023768.jpg
Djellaba enfant,12000.0,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4683616_uploaded_image1_1712666779.jpg
Maillot enfant,2000.0,"Thies, Sénégal",https://images.coinafrique.com/thumb_4344836_uploaded_image1_1692651906.jpg
T-shirt,9000.0,"Ngor, Dakar, Sénégal",https://images.coinafrique.com/thumb_4340716_uploaded_image1_1692364927.jpg
Short enfants,6000.0,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5532259_uploaded_image1_1758207295.jpg
Ensemble 2 pièces pour fille,14000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4402284_uploaded_image1_1696423054.jpg
Robe de prière enfant,2500.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4421455_uploaded_image1_1697627353.jpg
Jeans  pour enfants,6000.0,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4397937_uploaded_image1_1696183097.jpg
Polos  Lacoste enfants,4500.0,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4394815_uploaded_image1_1695942580.jpg
Slip enfant,2500.0,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_4766856_uploaded_image1_1716912176.jpg
Ensemble enfants 2 - 6ans,8000.0,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4464056_uploaded_image1_1700401019.jpg
Blouson enfant,5000.0,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_4511874_uploaded_image1_1703350100.jpg
Pull enfant avec capuche,5000.0,"Thies, Sénégal",https://images.coinafrique.com/thumb_4522850_uploaded_image1_1704190687.jpg
Blouson pour fille,6000.0,"Almadies, Dakar, Sénégal",https://images.coinafrique.com/thumb_4527014_uploaded_image1_1704375688.jpg
Ensemble blouson pour fille,4000.0,"Thies, Sénégal",https://images.coinafrique.com/thumb_4577293_uploaded_image1_1707012822.jpg
Blouson pour enfant 4 - 15 ans,8000.0,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4505009_uploaded_image1_1702930372.jpg
Blouson pour enfants original,8500.0,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5688318_uploaded_image1_1766596541.jpg
Pantalon  enfant,100000000.0,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5528006_uploaded_image1_1758017811.jpg
Coffret naissance,15000.0,"Sipres, Dakar, Sénégal",https://images.coinafrique.com/thumb_4608080_uploaded_image1_1708687411.jpg
Robe pour fille,4500.0,"Medina, Dakar, Sénégal",https://images.coinafrique.com/thumb_4886076_uploaded_image1_1723220872.jpg
Robe femme,15000.0,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_4652500_uploaded_image1_1711013502.jpg
Pack Jelleba pour enfant,15000.0,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_4655936_uploaded_image1_1711198926.jpg
Silip enfants,2500.0,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_4672209_uploaded_image1_1712088527.jpg
Djellaba enfants,20000.0,"Dieuppeul-Derklé, Dakar, Sénégal",https://images.coinafrique.com/thumb_4676613_uploaded_image1_1712271072.jpg
Robe enfant,5000.0,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_4686601_uploaded_image1_1712843423.jpg
Ensemble 3 pièces enfants,10000.0,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4669732_uploaded_image1_1711987098.jpg
Robe Turquie  enfants,7000.0,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4653806_uploaded_image1_1711066086.jpg
Ensemble robe enfants,5000.0,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4659695_uploaded_image1_1711411505.jpg
Robes basine et brodé enfant,10000.0,"Grand Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_4667139_uploaded_image1_1711815054.jpg
Robes en basin enfants,10000.0,"Grand Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_4667140_uploaded_image1_1711815203.jpg
Ensemble maillot de bain,9000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4709459_uploaded_image1_1713994419.jpg
Ensemble crop top,12000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4709483_uploaded_image1_1713995121.jpg
Ensemble petit garçon,9000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4709506_uploaded_image1_1713995931.jpg
Robe enfant,6000.0,"Cambérène, Dakar, Sénégal",https://images.coinafrique.com/thumb_4666224_uploaded_image1_1711745782.jpg
Slips pour enfants 2 - 8 ans,6000.0,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4668016_uploaded_image1_1711892538.jpg
Djellaba enfants,15000.0,"Cambérène, Dakar, Sénégal",https://images.coinafrique.com/thumb_4682806_uploaded_image1_1712615672.jpg
Ensemble bas large fille 10 - 14 ans,12000.0,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_4775932_uploaded_image1_1717369632.jpg
Robe brodé,10000.0,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_4787486_uploaded_image1_1717947693.jpg
Robe en coton 9 - 24 mois,5000.0,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_4775887_uploaded_image1_1717367631.jpg
Ensemble coton fille,5000.0,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_4775892_uploaded_image1_1717367975.jpg
Ensemble 5 pieces,6000.0,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_4775968_uploaded_image1_1717370720.jpg
Robe anniversaire ou cérémonie,15000.0,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_4775997_uploaded_image1_1717372054.jpg
Ensemble 3  pièces,15000.0,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_4788092_uploaded_image1_1717977175.jpg
Robe princesse,17500.0,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_4804290_uploaded_image1_1718982555.jpg
Slips pour enfants,7500.0,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4811384_uploaded_image1_1719393861.jpg
Cuissards,210.0,"Medina, Dakar, Sénégal",https://images.coinafrique.com/thumb_4881948_uploaded_image1_1723028512.jpg
Pyjama enfant en coton,2000.0,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_4882618_uploaded_image1_1723046965.jpg
